time,station,part_id,activity
2025-07-25T10:46:17.362079,S2,P7,TRANSFER
2025-07-25T10:46:17.861713,S5,P1,UNLOAD
2025-07-25T10:46:19.016804,S1,P8,UNLOAD
2025-07-25T10:46:19.501530,S5,P1,BLOCK
2025-07-25T10:46:21.630671,S1,P8,TRANSFER
2025-07-25T10:46:22.068269,S1,P6,LOAD
2025-07-25T10:46:22.417353,S5,P1,TRANSFER
2025-07-25T10:46:22.586744,S5,P2,LOAD
2025-07-25T10:46:25.849756,S4,P9,UNLOAD
2025-07-25T10:46:25.871739,S5,P2,PROCESS
2025-07-25T10:46:26.238204,S1,P6,PROCESS
2025-07-25T10:46:26.409604,S2,P8,LOAD
2025-07-25T10:46:27.690136,S4,P9,TRANSFER
2025-07-25T10:46:29.822002,S2,P8,PROCESS
2025-07-25T10:46:32.026054,S4,P7,LOAD
2025-07-25T10:46:33.825957,S2,P8,UNLOAD
2025-07-25T10:46:35.308529,S4,P7,PROCESS
2025-07-25T10:46:35.699439,S2,P8,TRANSFER
2025-07-25T10:46:38.551062,S5,P2,UNLOAD
2025-07-25T10:46:39.431050,S1,P6,UNLOAD
2025-07-25T10:46:40.217155,S5,P2,BLOCK
2025-07-25T10:46:42.016193,S1,P6,TRANSFER
2025-07-25T10:46:42.449379,S1,P10,LOAD
2025-07-25T10:46:42.825812,S5,P2,TRANSFER
2025-07-25T10:46:42.994510,S5,P3,LOAD
2025-07-25T10:46:46.282822,S5,P3,PROCESS
2025-07-25T10:46:46.719187,S1,P10,PROCESS
2025-07-25T10:46:46.723069,S2,P6,LOAD
2025-07-25T10:46:46.737300,S4,P7,UNLOAD
2025-07-25T10:46:48.625557,S4,P7,TRANSFER
2025-07-25T10:46:50.127897,S2,P6,PROCESS
2025-07-25T10:46:50.454092,S4,P8,LOAD
2025-07-25T10:46:53.743722,S4,P8,PROCESS
2025-07-25T10:46:56.770811,S2,P6,UNLOAD
2025-07-25T10:46:58.514000,S2,P6,TRANSFER
2025-07-25T10:46:59.216932,S5,P3,UNLOAD
2025-07-25T10:47:00.067188,S1,P10,UNLOAD
2025-07-25T10:47:00.923368,S5,P3,BLOCK
2025-07-25T10:47:02.738482,S1,P10,TRANSFER
2025-07-25T10:47:03.141464,S1,P11,LOAD
2025-07-25T10:47:03.472210,S5,P3,TRANSFER
2025-07-25T10:47:03.651646,S5,P4,LOAD
2025-07-25T10:47:05.964153,S4,P8,UNLOAD
2025-07-25T10:47:06.936090,S5,P4,PROCESS
2025-07-25T10:47:07.319516,S1,P11,PROCESS
2025-07-25T10:47:07.401743,S2,P10,LOAD
2025-07-25T10:47:07.826803,S4,P8,TRANSFER
2025-07-25T10:47:10.748540,S2,P10,PROCESS
2025-07-25T10:47:12.997771,S3,P6,LOAD
2025-07-25T10:47:15.512002,S2,P10,UNLOAD
2025-07-25T10:47:16.987394,S3,P6,PROCESS
2025-07-25T10:47:17.408933,S2,P10,TRANSFER
2025-07-25T10:47:18.927040,S1,P11,UNLOAD
2025-07-25T10:47:18.954636,S5,P4,UNLOAD
2025-07-25T10:47:20.556445,S5,P4,BLOCK
2025-07-25T10:47:21.496680,S1,P11,TRANSFER
2025-07-25T10:47:21.914756,S1,P12,LOAD
2025-07-25T10:47:22.210689,S5,P4,TRANSFER
2025-07-25T10:47:22.394938,S5,P5,LOAD
2025-07-25T10:47:24.765212,S3,P6,UNLOAD
2025-07-25T10:47:25.618362,S5,P5,PROCESS
2025-07-25T10:47:26.025568,S1,P12,PROCESS
2025-07-25T10:47:26.262714,S2,P11,LOAD
2025-07-25T10:47:27.562178,S3,P6,TRANSFER
2025-07-25T10:47:29.598733,S2,P11,PROCESS
2025-07-25T10:47:32.114300,S3,P10,LOAD
2025-07-25T10:47:34.667405,S2,P11,UNLOAD
2025-07-25T10:47:36.081735,S3,P10,PROCESS
2025-07-25T10:47:36.465140,S5,P5,UNLOAD
2025-07-25T10:47:36.536075,S2,P11,TRANSFER
2025-07-25T10:47:37.736149,S1,P12,UNLOAD
2025-07-25T10:47:38.111214,S5,P5,BLOCK
2025-07-25T10:47:40.460109,S1,P12,TRANSFER
2025-07-25T10:47:40.838700,S1,P1,LOAD
2025-07-25T10:47:41.231160,S5,P5,TRANSFER
2025-07-25T10:47:41.412736,S5,P9,LOAD
2025-07-25T10:47:43.333028,S3,P10,UNLOAD
2025-07-25T10:47:44.706497,S5,P9,PROCESS
2025-07-25T10:47:44.957693,S1,P1,PROCESS
2025-07-25T10:47:45.129175,S2,P12,LOAD
2025-07-25T10:47:46.021336,S3,P10,TRANSFER
2025-07-25T10:47:48.472441,S2,P12,PROCESS
2025-07-25T10:47:51.256878,S4,P11,LOAD
2025-07-25T10:47:54.100680,S2,P12,UNLOAD
2025-07-25T10:47:54.552169,S4,P11,PROCESS
2025-07-25T10:47:56.022063,S2,P12,TRANSFER
2025-07-25T10:47:56.058472,S1,P1,UNLOAD
2025-07-25T10:47:56.275590,S5,P9,UNLOAD
2025-07-25T10:47:57.955549,S5,P9,BLOCK
2025-07-25T10:47:58.658199,S1,P1,TRANSFER
2025-07-25T10:47:59.063581,S1,P2,LOAD
2025-07-25T10:47:59.345767,S5,P9,TRANSFER
2025-07-25T10:47:59.516424,S5,P7,LOAD
2025-07-25T10:48:02.800430,S5,P7,PROCESS
2025-07-25T10:48:03.232056,S2,P1,LOAD
2025-07-25T10:48:03.298268,S1,P2,PROCESS
2025-07-25T10:48:06.424668,S4,P11,UNLOAD
2025-07-25T10:48:06.573023,S2,P1,PROCESS
2025-07-25T10:48:08.304871,S4,P11,TRANSFER
2025-07-25T10:48:10.820692,S4,P12,LOAD
2025-07-25T10:48:11.286057,S2,P1,UNLOAD
2025-07-25T10:48:13.123256,S2,P1,TRANSFER
2025-07-25T10:48:14.093709,S4,P12,PROCESS
2025-07-25T10:48:14.248244,S1,P2,UNLOAD
2025-07-25T10:48:15.118541,S5,P7,UNLOAD
2025-07-25T10:48:16.767208,S5,P7,BLOCK
2025-07-25T10:48:16.916664,S1,P2,TRANSFER
2025-07-25T10:48:17.317455,S1,P3,LOAD
2025-07-25T10:48:17.706233,S5,P7,TRANSFER
2025-07-25T10:48:17.877149,S5,P8,LOAD
2025-07-25T10:48:21.163896,S5,P8,PROCESS
2025-07-25T10:48:21.419665,S1,P3,PROCESS
2025-07-25T10:48:21.845515,S2,P2,LOAD
2025-07-25T10:48:25.132692,S2,P2,PROCESS
2025-07-25T10:48:25.710769,S4,P12,UNLOAD
2025-07-25T10:48:27.565349,S4,P12,TRANSFER
2025-07-25T10:48:28.187568,S4,P1,LOAD
2025-07-25T10:48:30.508453,S2,P2,UNLOAD
2025-07-25T10:48:31.495251,S4,P1,PROCESS
2025-07-25T10:48:32.443954,S2,P2,TRANSFER
2025-07-25T10:48:33.335536,S5,P8,UNLOAD
2025-07-25T10:48:34.349190,S1,P3,UNLOAD
2025-07-25T10:48:35.046459,S5,P8,BLOCK
2025-07-25T10:48:37.016101,S1,P3,TRANSFER
2025-07-25T10:48:37.435472,S1,P4,LOAD
2025-07-25T10:48:37.747045,S5,P8,TRANSFER
