time,station,part,activity
2025-07-01T18:00:00.091962,S1,P11,PROCESS
2025-07-01T18:00:00.336259,S5,P12,UNLOAD
2025-07-01T18:00:01.074981,S3,P6,TRANSFER
2025-07-01T18:00:02.109652,S5,P12,TRANSFER
2025-07-01T18:00:03.296227,S2,P9,PROCESS
2025-07-01T18:00:03.873739,S5,P6,LOAD
2025-07-01T18:00:06.997520,S5,P6,PROCESS
2025-07-01T18:00:07.257447,S3,P5,LOAD
2025-07-01T18:00:08.635354,S2,P9,UNLOAD
2025-07-01T18:00:10.466277,S2,P9,TRANSFER
2025-07-01T18:00:11.192371,S3,P5,PROCESS
2025-07-01T18:00:11.915838,S1,P11,UNLOAD
2025-07-01T18:00:14.593295,S1,P11,TRANSFER
2025-07-01T18:00:15.017932,S1,P12,LOAD
2025-07-01T18:00:18.186302,S3,P5,UNLOAD
2025-07-01T18:00:19.123978,S1,P12,PROCESS
2025-07-01T18:00:19.307982,S5,P6,UNLOAD
2025-07-01T18:00:19.617463,S2,P11,LOAD
2025-07-01T18:00:21.252683,S3,P5,TRANSFER
2025-07-01T18:00:21.260012,S5,P6,TRANSFER
2025-07-01T18:00:22.802772,S2,P11,PROCESS
2025-07-01T18:00:24.119332,S5,P5,LOAD
2025-07-01T18:00:24.770581,S3,P9,LOAD
2025-07-01T18:00:25.936863,S2,P11,UNLOAD
2025-07-01T18:00:27.250420,S5,P5,PROCESS
2025-07-01T18:00:27.747932,S2,P11,TRANSFER
2025-07-01T18:00:28.752602,S3,P9,PROCESS
2025-07-01T18:00:31.204496,S1,P12,UNLOAD
2025-07-01T18:00:33.784553,S1,P12,TRANSFER
2025-07-01T18:00:34.204757,S1,P6,LOAD
2025-07-01T18:00:36.753029,S3,P9,UNLOAD
2025-07-01T18:00:38.384088,S1,P6,PROCESS
2025-07-01T18:00:38.500170,S5,P5,UNLOAD
2025-07-01T18:00:38.617386,S2,P12,LOAD
2025-07-01T18:00:39.509617,S3,P9,TRANSFER
2025-07-01T18:00:40.279862,S5,P5,TRANSFER
2025-07-01T18:00:41.860675,S2,P12,PROCESS
2025-07-01T18:00:42.053800,S3,P11,LOAD
2025-07-01T18:00:42.331610,S5,P9,LOAD
2025-07-01T18:00:45.469016,S5,P9,PROCESS
2025-07-01T18:00:46.033580,S3,P11,PROCESS
2025-07-01T18:00:46.276170,S2,P12,UNLOAD
2025-07-01T18:00:48.025170,S2,P12,TRANSFER
2025-07-01T18:00:50.012619,S1,P6,UNLOAD
2025-07-01T18:00:52.611737,S1,P6,TRANSFER
2025-07-01T18:00:52.930307,S3,P11,UNLOAD
2025-07-01T18:00:53.031347,S1,P5,LOAD
2025-07-01T18:00:55.665606,S3,P11,TRANSFER
2025-07-01T18:00:57.182695,S1,P5,PROCESS
2025-07-01T18:00:57.288830,S5,P9,UNLOAD
2025-07-01T18:00:57.488302,S2,P6,LOAD
2025-07-01T18:00:59.054437,S5,P9,TRANSFER
2025-07-01T18:00:59.477181,S5,P11,LOAD
2025-07-01T18:01:00.668351,S2,P6,PROCESS
2025-07-01T18:01:02.518424,S3,P12,LOAD
2025-07-01T18:01:02.707007,S5,P11,PROCESS
2025-07-01T18:01:05.637232,S2,P6,UNLOAD
2025-07-01T18:01:06.485773,S3,P12,PROCESS
2025-07-01T18:01:07.531012,S2,P6,TRANSFER
2025-07-01T18:01:09.216218,S1,P5,UNLOAD
2025-07-01T18:01:11.883157,S1,P5,TRANSFER
2025-07-01T18:01:12.287214,S1,P9,LOAD
2025-07-01T18:01:12.719149,S3,P12,UNLOAD
2025-07-01T18:01:15.424426,S5,P11,UNLOAD
2025-07-01T18:01:15.524086,S3,P12,TRANSFER
2025-07-01T18:01:16.463811,S1,P9,PROCESS
2025-07-01T18:01:16.595169,S2,P5,LOAD
2025-07-01T18:01:17.306953,S5,P11,TRANSFER
2025-07-01T18:01:17.983635,S5,P12,LOAD
2025-07-01T18:01:19.772004,S2,P5,PROCESS
2025-07-01T18:01:21.121587,S5,P12,PROCESS
2025-07-01T18:01:21.808344,S3,P6,LOAD
2025-07-01T18:01:23.776127,S2,P5,UNLOAD
